wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
679.902654;0.00273391;0.00087981;471.6401481;0.000647822;5.50152E-05;
680.0749779;0.002729853;0.000878571;472.3705793;0.000634273;5.38888E-05;
680.2472667;0.002725821;0.000877351;473.1008271;0.000620586;5.27487E-05;
680.4195204;0.002721809;0.00087615;473.8308913;0.000606785;5.15973E-05;
680.591739;0.002717818;0.000874966;474.560772;0.000592898;5.04369E-05;
680.7639225;0.002713851;0.000873797;475.2904692;0.000578956;4.92702E-05;
680.9360709;0.002709911;0.000872639;476.0199828;0.000565015;4.81022E-05;
681.1081843;0.002706;0.000871492;476.7493128;0.000551137;4.69382E-05;
681.2802625;0.002702122;0.000870353;477.4784593;0.000537383;4.57838E-05;
681.4523056;0.00269828;0.000869219;478.2074221;0.000523816;4.46443E-05;
681.6243137;0.002694475;0.000868088;478.9362013;0.000510498;4.3525E-05;
681.7962867;0.002690697;0.000866959;479.6647969;0.000497484;4.24311E-05;
681.9682246;0.002686935;0.000865831;480.3932088;0.000484815;4.13657E-05;
682.1401274;0.00268318;0.0008647;481.121437;0.000472525;4.0332E-05;
682.3119952;0.002679419;0.000863566;481.8494815;0.000460649;3.93327E-05;
682.4838279;0.002675643;0.000862427;482.5773423;0.000449223;3.83709E-05;
682.6556256;0.002671839;0.000861282;483.3050194;0.00043828;3.74494E-05;
682.8273881;0.002668003;0.000860129;484.0325127;0.000427855;3.65711E-05;
682.9991156;0.002664145;0.000858974;484.7598223;0.000417975;3.57385E-05;
683.1708081;0.002660283;0.000857822;485.486948;0.000408636;3.49516E-05;
683.3424655;0.002656433;0.000856681;486.21389;0.000399823;3.42098E-05;
683.5140879;0.002652612;0.000855555;486.9406481;0.000391525;3.35126E-05;
683.6856752;0.002648836;0.000854451;487.6672224;0.000383729;3.28595E-05;
683.8572275;0.002645123;0.000853376;488.3936129;0.000376422;3.22499E-05;
684.0287447;0.002641486;0.000852334;489.1198194;0.000369591;3.16834E-05;
684.2002269;0.002637937;0.000851328;489.8458421;0.000363222;3.11592E-05;
684.371674;0.002634483;0.000850361;490.5716809;0.000357294;3.06752E-05;
684.5430862;0.002631134;0.000849434;491.2973357;0.000351785;3.02292E-05;
684.7144633;0.002627899;0.000848549;492.0228066;0.000346672;2.9819E-05;
684.8858053;0.002624785;0.000847709;492.7480935;0.000341932;2.94423E-05;
685.0571124;0.002621801;0.000846915;493.4731964;0.000337543;2.90968E-05;
685.2283844;0.002618955;0.000846169;494.1981154;0.000333482;2.87803E-05;
685.3996215;0.002616244;0.000845466;494.9228503;0.000329728;2.84908E-05;
685.5708235;0.002613665;0.000844802;495.6474012;0.000326258;2.82261E-05;
685.7419905;0.002611215;0.000844171;496.371768;0.000323048;2.79842E-05;
685.9131224;0.002608891;0.00084357;497.0959508;0.000320079;2.77631E-05;
686.0842194;0.002606688;0.000842992;497.8199495;0.000317326;2.75606E-05;
686.2552814;0.002604604;0.000842433;498.543764;0.000314767;2.73748E-05;
686.4263084;0.002602635;0.000841888;499.2673945;0.000312383;2.72037E-05;
686.5973004;0.002600779;0.000841354;499.9908408;0.000310159;2.7046E-05;
686.7682574;0.002599035;0.000840827;500.7141029;0.000308083;2.69006E-05;
686.9391794;0.002597402;0.000840303;501.4371809;0.000306142;2.67663E-05;
687.1100664;0.002595876;0.00083978;502.1600747;0.000304324;2.66419E-05;
687.2809184;0.002594457;0.000839254;502.8827842;0.000302617;2.65264E-05;
687.4517355;0.002593144;0.000838722;503.6053096;0.000301008;2.64185E-05;
687.6225176;0.002591927;0.00083818;504.3276507;0.000299486;2.63172E-05;
687.7932647;0.002590773;0.00083763;505.0498075;0.000298042;2.6222E-05;
687.9639768;0.002589641;0.000837072;505.77178;0.00029667;2.61327E-05;
688.134654;0.002588489;0.000836507;506.4935683;0.000295363;2.60487E-05;
688.3052962;0.002587278;0.000835937;507.2151722;0.000294112;2.59699E-05;
688.4759035;0.002585966;0.000835363;507.9365918;0.000292912;2.58957E-05;
688.6464757;0.002584513;0.000834785;508.657827;0.000291756;2.5826E-05;
688.8170131;0.002582889;0.000834206;509.3788779;0.000290643;2.57607E-05;
688.9875154;0.002581109;0.000833627;510.0997443;0.000289575;2.56998E-05;
689.1579829;0.002579199;0.000833051;510.8204264;0.000288552;2.56433E-05;
689.3284153;0.002577185;0.000832481;511.5409241;0.000287574;2.55914E-05;
689.4988129;0.002575093;0.000831919;512.2612373;0.000286643;2.5544E-05;
689.6691755;0.002572949;0.000831369;512.981366;0.00028576;2.55012E-05;
689.8395031;0.002570778;0.000830833;513.7013102;0.000284924;2.5463E-05;
690.0097959;0.002568606;0.000830314;514.42107;0.000284136;2.54294E-05;
690.1800536;0.002566457;0.000829813;515.1406453;0.000283396;2.54005E-05;
690.3502765;0.002564356;0.000829332;515.860036;0.000282704;2.53761E-05;
690.5204644;0.002562324;0.000828875;516.5792422;0.00028206;2.53563E-05;
690.6906175;0.002560388;0.000828442;517.2982638;0.000281463;2.53411E-05;
690.8607355;0.002558569;0.000828037;518.0171008;0.000280915;2.53305E-05;
691.0308187;0.002556892;0.00082766;518.7357532;0.000280413;2.53243E-05;
691.200867;0.002555371;0.000827311;519.454221;0.000279948;2.53221E-05;
691.3708803;0.002553987;0.000826978;520.1725042;0.000279511;2.53234E-05;
691.5408588;0.002552711;0.000826647;520.8906027;0.000279092;2.53275E-05;
691.7108023;0.002551513;0.000826303;521.6085165;0.000278681;2.53339E-05;
691.880711;0.002550366;0.000825931;522.3262457;0.000278267;2.5342E-05;
692.0505847;0.00254924;0.000825516;523.0437901;0.000277844;2.53513E-05;
692.2204235;0.002548107;0.000825044;523.7611498;0.000277408;2.53617E-05;
692.3902275;0.002546946;0.000824505;524.4783248;0.00027696;2.53733E-05;
692.5599965;0.002545765;0.000823915;525.195315;0.0002765;2.53859E-05;
692.7297307;0.002544579;0.000823293;525.9121204;0.000276028;2.53996E-05;
692.89943;0.002543406;0.000822659;526.6287411;0.000275544;2.54144E-05;
693.0690944;0.00254226;0.000822033;527.3451769;0.000275048;2.54303E-05;
693.238724;0.002541157;0.000821435;528.0614279;0.00027454;2.54472E-05;
693.4083186;0.002540114;0.000820886;528.777494;0.000274024;2.54653E-05;
693.5778784;0.002539136;0.000820399;529.4933753;0.000273504;2.54846E-05;
693.7474033;0.002538198;0.00081997;530.2090717;0.000272982;2.55053E-05;
693.9168934;0.002537264;0.00081959;530.9245831;0.000272463;2.55275E-05;
694.0863486;0.002536297;0.00081925;531.6399097;0.000271949;2.55513E-05;
694.2557689;0.002535263;0.000818939;532.3550513;0.000271446;2.55767E-05;
694.4251544;0.002534125;0.000818648;533.070008;0.000270955;2.5604E-05;
694.594505;0.002532849;0.000818367;533.7847797;0.000270478;2.56331E-05;
694.7638208;0.002531407;0.000818088;534.4993664;0.000270017;2.56641E-05;
694.9331017;0.002529813;0.000817801;535.2137681;0.000269571;2.56972E-05;
695.1023478;0.002528089;0.000817498;535.9279848;0.000269144;2.57323E-05;
695.271559;0.002526255;0.00081717;536.6420164;0.000268735;2.57695E-05;
695.4407354;0.002524335;0.000816809;537.3558629;0.000268345;2.5809E-05;
695.609877;0.002522349;0.000816407;538.0695244;0.000267974;2.58506E-05;
695.7789837;0.00252032;0.000815954;538.7830008;0.000267622;2.58944E-05;
695.9480556;0.002518267;0.000815446;539.4962921;0.000267288;2.59402E-05;
696.1170927;0.002516201;0.000814892;540.2093982;0.000266973;2.59881E-05;
696.2860949;0.002514133;0.000814305;540.9223192;0.000266675;2.6038E-05;
